Nome,Marca,Ano,Preco_Num,RAM_Num,Specs_Completa,Armazenamento_Num,Bateria_Num,Url
Samsung Galaxy Z TriFold,Samsung,01/12/2025,0.0,16.0,"Smartphone: Samsung Galaxy Z TriFold. Marca: Samsung. Lançamento: 01/12/2025. Status: Lançamento. Data lançamento: 01/12/2025. Outras informações: Dimensões. Dimensões: Aberto: 159.2 x 214.1 x 3.9-4.2 mm e Fechado: 159.2 x 75 x 12.9 mm. Peso: 309g. Construção: Vidro Frontal (Gorilla Glass Victus Ceramic 2) Tela externa e Frame de alumínio. Chip: Multi eSIM e Nano-SIM. Proteção Água: IP48. Dobrável: Sim. Plataforma: Sistema. Sistema: Android 16 e One UI 8. Atualizações: 7 anos (sistema). Processador: Qualcomm Snapdragon 8 Elite (3 nm). CPU: Octa-core (2x4.47 GHz Oryon V2 Phoenix L, 6x3.53 GHz Oryon V2 Phoenix M). GPU: Adreno 830. Memórias: Memória RAM. Memória RAM: 16 GB. Tipo de Memória RAM: UFS 4.0. Armazenamento: 512 GBe1 TB. Armazenamento Extra: Não Possui. Tela: Tela - Tipo. Tela - Tipo: Tri-foldable Dynamic LTPO AMOLED 2X. Tela - Tamanho: 10 polegadas. Tela - Resolução: 1584 x 2160 pixels. Tela - Frequência: 120Hz. Tela - Densidade: 269 ppi. Tela - Proteção: Corning Gorilla Glass Victus 2. Tela - Extras: Tela externa 6.5 pol 1080 x 2520px, 1600 nits (pico) e HDR 10 Plus. Câmera principal: 200 MP, f/1.7, (wide), multi-directional PDAF e OIS. 2ª câmera: 10 MP, f/2.4, (telefoto), 3x zoom ótico, PDAF e OIS. 3ª câmera: 12 MP, f/2.2, 123˚, 12mm (ultrawide). Câmera - Extras: Panorama, HDR e Flash LED. Vídeo: 4K - 60fps, gyro-EIS e FULLHD - 60fps. Câmera frontal: Câm. Selfie. Câm. Selfie: Câmera Cover: 10 MP, f/2.2 e 10 MP, f/2.2, 24mm (wide). Câmera Frontal - Extras: HDR. Bateria: 5600 mAh. Carregador: 45W e 4.5 reverse wireless. Carrega sem fios?: 15W. Redes de dados: 3G. 3G: Sim. 4G: Sim. 5G: Sim. Wi-Fi: Wi-Fi 802.11 a/b/g/n/ac/6e/7, Tri-Band e Wi-Fi Direct. Bluetooth: 5.4, A2DP, LE e aptX HD. GPS: GPS, QZSS, BDS, GALILEO e GLONASS. NFC: Sim. Som: Loudspeaker e Estéreo. 3.5mm jack: Não. Outros: Rádio FM. Rádio FM: Não. Infravermelho: Não. USB: On-The-Go, Tipo-C e 3.2. Sensores: Impressão digital (lateral), Samsung DeX, Bússola, Proximidade, Barômetro, Giroscópio, Acelerômetro e Suporte ultra wideband (UWB).",1.0,5600.0,https://www.oficinadanet.com.br/smartphones/samsung-galaxy-z-trifold
Samsung Galaxy A17 4G,Samsung,08/09/2025,1198.0,8.0,"Smartphone: Samsung Galaxy A17 4G. Marca: Samsung. Lançamento: 08/09/2025. Status: Lançamento. Data lançamento: 08/09/2025. Preço de lançamento: R$ 1.399,00. Menor preço histórico: R$ 1.198,00. Preço atual: R$ 1.198,00. Outras informações: Dimensões. Dimensões: 164.4 x 77.9 x 7.5 mm. Peso: 190g. Construção: Vidro Frontal  , Traseira em fibra de vidro e Frame em plástico. Chip: Single SIM (Nano-SIM and/or eSIM). Proteção Água: IP54. Plataforma: Sistema. Sistema: Android 15 e One UI 7. Atualizações: 6 anos (segurança) e 6 anos (sistema). Processador: MediaTek Helio G99 (6nm). CPU: Octa-core (2x2.2 GHz Cortex-A76 e 6x2.0 GHz Cortex-A55). GPU: Mali-G57 MC2. Memórias: Memória RAM. Memória RAM: 4 GBe8 GB. Armazenamento: 128 GBe256 GB. Armazenamento Extra: microSDXC (slot híbrido). Tela: Tela - Tipo. Tela - Tipo: Super AMOLED. Tela - Tamanho: 6.7. Tela - Resolução: 1080 x 2340. Tela - Frequência: 90Hz. Tela - Proteção: Não possui. Tela - Extras: 800 nits. Câmera principal: 50 MP, f/1.8, (wide). 2ª câmera: 5 MP, f/2.2, (ultrawide), 1/5. 3ª câmera: 2 MP, f/2.4, (macro). Câmera - Extras: HDR, Panorama e Flash LED. Vídeo: FULLHD - 30fps. Câmera frontal: Câm. Selfie. Câm. Selfie: 13 MP, f/2.0, (wide). Bateria: 5000 mAh. Carregador: 25W. Carrega sem fios?: Não. Redes de dados: 3G. 3G: Sim. 4G: Sim. 5G: Não. Wi-Fi: Wi-Fi 802.11 a/b/g/n/ac , Dual Band e Wi-Fi Direct. Bluetooth: A2DP, LE e 5.3. GPS: QZSS, GPS, GALILEO, BDS e GLONASS. NFC: Sim. Som: Loudspeaker. 3.5mm jack: Não. Outros: Infravermelho. Infravermelho: Não. USB: Tipo-C e 2.0. Sensores: Impressão digital (lateral), Sensor de Luz, Sensor Geomagnético, Proximidade Virtual, Bússola e Acelerômetro.",256.0,5000.0,https://www.oficinadanet.com.br/smartphones/samsung-galaxy-a17
Samsung Galaxy S25 FE,Samsung,04/09/2025,3098.0,8.0,"Smartphone: Samsung Galaxy S25 FE. Marca: Samsung. Lançamento: 04/09/2025. Status: Verificado. Data lançamento: 04/09/2025. Preço de lançamento: R$ 5.499,00. Menor preço histórico: R$ 2.599,00. Preço atual: R$ 3.098,00. Outras informações: Dimensões. Dimensões: 161.3 x 76.6 x 7.4 mm. Peso: 190g. Construção: Vidro Frontal (Gorilla Glass Victus Plus), Vidro traseiro (Corning Gorilla Glass Victus Plus) e Frame de alumínio. Chip: Nano-SIM, Secundário (Nano-SIM) e eSIM. Proteção Água: IP68. Plataforma: Sistema. Sistema: Android 16 e One UI 8. Atualizações: 7 anos (sistema). Processador: Exynos 2400 (4 nm). CPU: 10-core (1x3.2GHz Cortex-X4 e 2x2.9GHz Cortex-A720 e 3x2.6GHz Cortex-A720 e 4x1.96GHz Cortex-A520). GPU: Xclipse 940. Memórias: Memória RAM. Memória RAM: 8 GB. Armazenamento: 128 GB,256 GBe512 GB. Armazenamento Extra: Não Possui. Tela: Tela - Tipo. Tela - Tipo: Dynamic LTPO AMOLED 2X. Tela - Tamanho: 6.7. Tela - Resolução: 1080 x 2340. Tela - Frequência: 120Hz. Tela - Proteção: Corning Gorilla Glass Victus Plus. Tela - Extras: 1900 nits (pico). Câmera principal: 50 MP, f/1.8, (wide), PDAF e OIS. 2ª câmera: 8 MP, f/2.4, (telephoto) 3x zoom ótico e PDAF. 3ª câmera: 12 MP, f/2.2 (ultrawide). Vídeo: 4K - 60fps. Câmera frontal: Câm. Selfie. Câm. Selfie: 12 MP, f/2.2, (wide). Bateria: 4900 mAh. Carregador: 45W. Carrega sem fios?: 25W. Redes de dados: 3G. 3G: Sim. 4G: Sim. 5G: Sim. Wi-Fi: Wi-Fi 802.11 a/b/g/n/ac/6e e Wi-Fi Direct. Bluetooth: 5.4, A2DP e  LE. GPS: A-GPS, GALILEO, GLONASS e BDS. NFC: Sim. Som: Loudspeaker e Estéreo. 3.5mm jack: Não. Outros: Infravermelho. Infravermelho: Não. USB: OTG e Tipo-C. Sensores: Bússola, Proximidade, Giroscópio, Acelerômetro e Impressão digital (sob a tela, óptico).",512.0,4900.0,https://www.oficinadanet.com.br/smartphones/samsung-galaxy-s25-fe
Samsung Galaxy A07 4G,Samsung,23/08/2025,646.94,8.0,"Smartphone: Samsung Galaxy A07 4G. Marca: Samsung. Lançamento: 23/08/2025. Status: Lançamento. Data lançamento: 23/08/2025. Preço de lançamento: R$ 899,00. Menor preço histórico: R$ 567,89. Preço atual: R$ 646,94. Outras informações: Dimensões. Dimensões: 164.4 x 77.4 x 7.6 mm. Peso: 184g. Construção: Plástico na traseira, Vidro Frontal   e Frame em plástico. Chip: Dual SIM (Nano-SIM, dual stand-by) e Single SIM (Nano-SIM and/or eSIM). Proteção Água: IP54. Plataforma: Sistema. Sistema: Android 15 e One UI 7. Atualizações: 6 anos (segurança) e 6 anos (sistema). Processador: MediaTek Helio G99 (6nm). CPU: Octa-core (2x2.2 GHz Cortex-A76 e 6x2.0 GHz Cortex-A55). GPU: Mali-G52 MC2. Memórias: Memória RAM. Memória RAM: 4 GBe8 GB. Armazenamento: 128 GBe256 GB. Armazenamento Extra: microSDXC (slot dedicado). Tela: Tela - Tipo. Tela - Tipo: PLS LCD. Tela - Tamanho: 6.7. Tela - Resolução: 1600 x 720. Tela - Densidade: 262 ppi. Tela - Frequência: 90Hz. Tela - Proteção: Não possui. Câmera principal: 50 MP, f/1.8, (wide) e PDAF. 2ª câmera: 2 MP, f/2.4, (profundidade). Câmera - Extras: Flash LED. Vídeo: Full HD - 30 fps. Câmera frontal: Câm. Selfie. Câm. Selfie: 8 MP, f/2.0, (wide). Bateria: 5000 mAh. Carregador: 15W. Carrega sem fios?: Não. Redes de dados: 3G. 3G: Sim. 4G: Sim. 5G: Não. Wi-Fi: Wi-Fi 802.11 a/b/g/n/ac. Bluetooth: A2DP,  LE e 5.3. GPS: A-GPS, GALILEO, GLONASS e BDS. NFC: Não. Som: Loudspeaker. 3.5mm jack: Sim. Outros: Infravermelho. Infravermelho: Não. USB: Tipo-C e 2.0. Sensores: Impressão digital (lateral), Proximidade e Acelerômetro.",256.0,5000.0,https://www.oficinadanet.com.br/smartphones/samsung-galaxy-a07-4g
Samsung Galaxy A17 5G,Samsung,06/08/2025,1249.0,8.0,"Smartphone: Samsung Galaxy A17 5G. Marca: Samsung. Lançamento: 06/08/2025. Status: Lançamento. Data lançamento: 06/08/2025. Preço de lançamento: R$ 1.699,00. Menor preço histórico: R$ 1.159,10. Preço atual: R$ 1.249,00. Outras informações: Dimensões. Dimensões: 164.4 x 77.9 x 7.5 mm. Peso: 192 g. Construção: Vidro Frontal  , Frame em plástico e Traseira em fibra de vidro. Chip: Single SIM (Nano-SIM and/or eSIM). Proteção Água: IP54. Plataforma: Sistema. Sistema: Android 15 e One UI 7. Atualizações: 6 anos (sistema). Processador: Samsung Exynos 1330 (5 nm). CPU: Cortex-A78x2 2.4GHz e Cortex-A55x6 2.0GHz. GPU: Mali-G68 MP2. Memórias: Memória RAM. Memória RAM: 4 GBe8 GB. Armazenamento: 128 GBe256 GB. Armazenamento Extra: microSDXC (slot híbrido). Tela: Tela - Tipo. Tela - Tipo: Super AMOLED. Tela - Tamanho: 6.7. Tela - Resolução: 1080 x 2340. Tela - Frequência: 90Hz. Tela - Proteção: Não possui. Tela - Extras: 800 nits. Câmera principal: 50 MP, f/1.8, (wide). 2ª câmera: 5 MP, f/2.2, (ultrawide), 1/5. 3ª câmera: 2 MP, f/2.4, (macro). Câmera - Extras: Panorama, Flash LED e HDR. Vídeo: FULLHD - 30fps. Câmera frontal: Câm. Selfie. Câm. Selfie: 13 MP, f/2.0, (wide). Bateria: 5000 mAh. Carregador: 25W. Carrega sem fios?: Não. Redes de dados: 3G. 3G: Sim. 4G: Sim. 5G: Sim. Wi-Fi: Wi-Fi 802.11 a/b/g/n/ac , Dual Band e Wi-Fi Direct. Bluetooth: A2DP, LE e 5.3. GPS: QZSS, GPS, BDS, GALILEO e GLONASS. NFC: Sim. Som: Loudspeaker. 3.5mm jack: Não. Outros: Infravermelho. Infravermelho: Não. USB: Tipo-C e 2.0. Sensores: Impressão digital (lateral), Sensor de Luz, Sensor Geomagnético, Proximidade Virtual, Bússola e Acelerômetro.",256.0,5000.0,https://www.oficinadanet.com.br/smartphones/samsung-galaxy-a17-5g
Samsung Galaxy Z Flip7,Samsung,09/07/2025,6005.0,12.0,"Smartphone: Samsung Galaxy Z Flip7. Marca: Samsung. Lançamento: 09/07/2025. Status: Lançamento. Data lançamento: 09/07/2025. Preço de lançamento: R$ 8.199,00. Menor preço histórico: R$ 4.678,00. Preço atual: R$ 6.005,00. Outras informações: Dimensões. Dimensões: Fechado: 85.5 x 75.2 x 13.7 mm e Aberto: 166.7 x 75.2 x 6.5 mm. Peso: 188g. Construção: Plástico frontal (tela aberta), Vidro traseiro (Gorilla Glass Victus 2) e Frame de alumínio. Chip: Multi eSIM e Nano-SIM. Proteção Água: IP48. Dobrável: Sim. Plataforma: Sistema. Sistema: Android 16 e One UI 8. Atualizações: 7 anos (sistema). Processador: Exynos 2500 (3nm). CPU: 10-core (1x3.3GHz Cortex-X5 e 2x2.74GHz Cortex-A725 e 5x2.36GHz Cortex-A725 e 2x1.8GHz Cortex-A520). GPU: Xclipse 950. Memórias: Memória RAM. Memória RAM: 12 GB. Tipo de Memória RAM: UFS 4.0. Armazenamento: 256 GBe512 GB. Armazenamento Extra: Não Possui. Tela: Tela - Tipo. Tela - Tipo: Foldable Dynamic LTPO AMOLED 2X. Tela - Tamanho: 6.9. Tela - Resolução: 1080 x 2520. Tela - Frequência: 120Hz. Tela - Densidade: 397 ppi. Tela - Proteção: Corning Gorilla Glass Victus 2. Tela - Extras: 2600 nits (pico), HDR 10 Plus e Tela externa: Super AMOLED, 120Hz, 2600 nits (peak), 4.1 Pol, 948 x 1048 px (Gorilla Glass Victus 2). Câmera principal: 50 MP, f/1.8, (wide), Dual Pixel PDAF e OIS. 2ª câmera: 12 MP, f/2.2, 123˚ (ultrawide). Câmera - Extras: Panorama, Flash LED e HDR. Vídeo: 4K - 60fps. Câmera frontal: Câm. Selfie. Câm. Selfie: 10 MP, f/2.2, 23mm (wide). Câmera Frontal - Extras: HDR. Bateria: 4300 mAh. Carregador: 25W e 4.5 reverse wireless. Carrega sem fios?: 15W. Redes de dados: 3G. 3G: Sim. 4G: Sim. 5G: Sim. Wi-Fi: Wi-Fi 802.11 a/b/g/n/ac/6e/7, Tri-Band e Wi-Fi Direct. Bluetooth: 5.4, A2DP e LE. GPS: GPS, BDS, GALILEO e GLONASS. NFC: Sim. Som: Loudspeaker e Estéreo. 3.5mm jack: Não. Outros: Rádio FM. Rádio FM: Não. Infravermelho: Não. USB: Tipo-C, On-The-Go e 3.2. Sensores: Impressão digital (lateral), Acelerômetro, Giroscópio, Barômetro, Bússola e Proximidade.",512.0,4300.0,https://www.oficinadanet.com.br/smartphones/samsung-galaxy-z-flip7
Samsung Galaxy Z Flip7 FE,Samsung,09/07/2025,3943.0,8.0,"Smartphone: Samsung Galaxy Z Flip7 FE. Marca: Samsung. Lançamento: 09/07/2025. Status: Lançamento. Data lançamento: 09/07/2025. Preço de lançamento: R$ 6.699,00. Menor preço histórico: R$ 2.799,00. Preço atual: R$ 3.943,00. Outras informações: Dimensões. Dimensões: Aberto: 165.1 x 71.9 x 6.9 mm e Fechado: 85.1 x 71.9 x 14.9 mm. Peso: 187 g. Construção: Plástico frontal (tela aberta), Vidro traseiro (Gorilla Glass Victus 2) e Frame de alumínio. Chip: Multi eSIM e Nano-SIM. Proteção Água: IP48. Dobrável: Sim. Plataforma: Sistema. Sistema: Android 16 e One UI 8. Atualizações: 7 anos (sistema). Processador: Exynos 2400 (4 nm). CPU: 10-core (1x3.2GHz Cortex-X4 e 2x2.9GHz Cortex-A720 e 3x2.6GHz Cortex-A720 e 4x1.96GHz Cortex-A520). GPU: Xclipse 940. Memórias: Memória RAM. Memória RAM: 8 GB. Armazenamento: 256 GBe512 GB. Armazenamento Extra: Não Possui. Tela: Tela - Tipo. Tela - Tipo: Foldable Dynamic LTPO AMOLED 2X e Super AMOLED. Tela - Tamanho: 6.7. Tela - Resolução: 1080 x 2640 pixels. Tela - Frequência: 120Hz. Tela - Densidade: 426 ppi. Tela - Proteção: Corning Gorilla Glass Victus 2. Tela - Extras: Tela externa: Super AMOLED, 2600 nits (pico), 3.4 polegadas , 720 x 748 pixels (Gorilla Glass Victus 2), 306 ppi, 2600 nits (pico) e HDR 10 Plus. Câmera principal: 50 MP, f/1.8, (wide), Dual Pixel PDAF e OIS. 2ª câmera: 12 MP, f/2.2, 123˚ (ultrawide). Câmera - Extras: Panorama, Flash LED e HDR. Vídeo: 4K - 60fps. Câmera frontal: Câm. Selfie. Câm. Selfie: 10 MP, f/2.2, 23mm (wide). Câmera Frontal - Extras: HDR. Bateria: 4000 mAh. Carregador: 25W e 4.5 reverse wireless. Carrega sem fios?: 15W. Redes de dados: 3G. 3G: Sim. 4G: Sim. 5G: Sim. Wi-Fi: Wi-Fi 802.11 a/b/g/n/ac/6e, Tri-Band e Wi-Fi Direct. Bluetooth: 5.4, A2DP e LE. GPS: QZSS, GPS, BDS, GALILEO e GLONASS. NFC: Sim. Som: Loudspeaker e Estéreo. 3.5mm jack: Não. Outros: Rádio FM. Rádio FM: Não. Infravermelho: Não. USB: On-The-Go e Tipo-C. Sensores: Impressão digital (lateral), Giroscópio, Barômetro, Acelerômetro, Bússola e Proximidade.",512.0,4000.0,https://www.oficinadanet.com.br/smartphones/samsung-galaxy-z-flip7-fe
Samsung Galaxy Z Fold7,Samsung,09/07/2025,8999.0,16.0,"Smartphone: Samsung Galaxy Z Fold7. Marca: Samsung. Lançamento: 09/07/2025. Status: Lançamento. Data lançamento: 09/07/2025. Preço de lançamento: R$ 14.599,00. Menor preço histórico: R$ 8.135,00. Preço atual: R$ 8.999,00. Outras informações: Dimensões. Dimensões: Fechado: 158.4 x 72.8 x 8.9 mm e Aberto: 158.4 x 143.2 x 4.2 mm. Peso: 215 g. Construção: Vidro Frontal (Gorilla Glass Victus Ceramic 2) Tela externa, Vidro traseiro (Gorilla Glass Victus 2) e Frame de alumínio. Chip: Nano-SIM e Multi eSIM. Proteção Água: IP48. Dobrável: Sim. Plataforma: Sistema. Sistema: Android 16 e One UI 8. Atualizações: 7 anos (sistema). Processador: Qualcomm Snapdragon 8 Elite (3 nm). CPU: Octa-core (2x4.47 GHz Oryon V2 Phoenix L, 6x3.53 GHz Oryon V2 Phoenix M). GPU: Adreno 830. Memórias: Memória RAM. Memória RAM: 12 GBe16 GB. Tipo de Memória RAM: UFS 4.0. Armazenamento: 256 GB,512 GBe1 TB. Armazenamento Extra: Não Possui. Tela: Tela - Tipo. Tela - Tipo: Foldable Dynamic LTPO AMOLED 2X. Tela - Tamanho: 8.0. Tela - Resolução: 1968 x 2184 pixels. Tela - Densidade: 368 ppi. Tela - Frequência: 120Hz. Tela - Proteção: Corning Gorilla Glass Victus 2. Tela - Extras: 2600 nits (pico), HDR 10 Plus e Tela externa: Dynamic LTPO AMOLED 2X, 120Hz, Corning Gorilla Glass Ceramic 2 6.5 Pol, 1080 x 2520 pixels, 422 ppi. Câmera principal: 200 MP, f/1.7, (wide), multi-directional PDAF e OIS. 2ª câmera: 10 MP, f/2.4, (telefoto), 3x zoom ótico, PDAF e OIS. 3ª câmera: 12 MP, f/2.2, 123˚, 12mm (ultrawide). Câmera - Extras: Panorama, HDR e Flash LED. Vídeo: 4K - 60fps, gyro-EIS e FULLHD - 60fps. Câmera frontal: Câm. Selfie. Câm. Selfie: 10 MP, f/2.2, 24mm (wide) e Câmera Cover: 10 MP, f/2.2. Câmera Frontal - Extras: HDR. Bateria: 4400 mAh. Carregador: 25W e 4.5 reverse wireless. Carrega sem fios?: 15W. Redes de dados: 3G. 3G: Sim. 4G: Sim. 5G: Sim. Wi-Fi: Wi-Fi 802.11 a/b/g/n/ac/6e/7, Tri-Band e Wi-Fi Direct. Bluetooth: 5.4, A2DP, LE e aptX HD. GPS: GPS, QZSS, BDS, GALILEO e GLONASS. NFC: Sim. Som: Loudspeaker e Estéreo. 3.5mm jack: Não. Outros: Rádio FM. Rádio FM: Não. Infravermelho: Não. USB: Tipo-C, On-The-Go e 3.2. Sensores: Samsung DeX, Impressão digital (lateral), Acelerômetro, Giroscópio, Barômetro, Bússola, Proximidade e Suporte ultra wideband (UWB).",1.0,4400.0,https://www.oficinadanet.com.br/smartphones/samsung-galaxy-z-fold7
Samsung Galaxy S25 Edge,Samsung,13/05/2025,8099.1,12.0,"Smartphone: Samsung Galaxy S25 Edge. Marca: Samsung. Lançamento: 13/05/2025. Status: Verificado. Data lançamento: 13/05/2025. Preço de lançamento: R$ 8.799,00. Menor preço histórico: R$ 4.405,27. Preço atual: R$ 8.099,10. Outras informações: Dimensões. Dimensões: 158.2 x 75.6 x 5.8 mm. Peso: 163 g. Construção: Vidro Frontal (Gorilla Glass Ceramic 2), Frame em titânio e Vidro traseiro (Gorilla Glass Victus 2). Chip: Nano-SIM, eSIM e Secundário (Nano-SIM). Proteção Água: IP68. Plataforma: Sistema. Sistema: Android 15 e One UI 7. Processador: Qualcomm Snapdragon 8 Elite (3 nm). CPU: Octa-core (2x4.32 GHz Oryon V2 Phoenix L   6x3.53 GHz Oryon V2 Phoenix M). GPU: Adreno 830. AnTuTu: 2.172.000. Memórias: Memória RAM. Memória RAM: 12 GB. Armazenamento: 256 GBe512 GB. Armazenamento Extra: Não Possui. Tela: Tela - Tipo. Tela - Tipo: LTPO AMOLED 2X. Tela - Tamanho: 6.7. Tela - Resolução: 1440 x 3120. Tela - Frequência: 120Hz. Tela - Densidade: 513 ppi. Tela - Proteção: Corning Gorilla Glass Ceramic 2. Tela - Extras: HDR 10 Plus. Câmera principal: 200 MP, f/1.7, (wide), OIS   e PDAF. 2ª câmera: 12 MP, f/2.2, (ultrawide). Vídeo: 8K - 30fps. Câmera frontal: Câm. Selfie. Câm. Selfie: 12 MP, f/2.2, (wide). Bateria: 3900 mAh. Autonomia (teste bateria): 100% - Não completou. Carregador: 25W. Carrega sem fios?: Sim. Tempo de carga (teste bateria): 1h23min. Redes de dados: 3G. 3G: Sim. 4G: Sim. 5G: Sim. Wi-Fi: Wi-Fi 802.11 a/b/g/n/ac/6/7. Bluetooth: 5.4. GPS: GPS, BDS, GALILEO e GLONASS. NFC: Sim. Som: Estéreo. 3.5mm jack: Não. Outros: Rádio FM. Rádio FM: Não. Infravermelho: Não. USB: USB Tipo-C. Sensores: Acelerômetro, Barômetro, Proximidade, Bússola, Giroscópio e Impressão digital (sob a tela, ultrassônico).",512.0,3900.0,https://www.oficinadanet.com.br/smartphones/samsung-galaxy-s25-edge
Samsung Galaxy M56 5G,Samsung,17/04/2025,0.0,8.0,"Smartphone: Samsung Galaxy M56 5G. Marca: Samsung. Lançamento: 17/04/2025. Status: Lançamento. Data lançamento: 17/04/2025. Outras informações: Dimensões. Dimensões: 162 x 77.3 x 7.2 mm. Peso: 180g. Construção: Plástico na traseira, Frame em plástico e Vidro Frontal (Gorilla Glass Victus Plus). Chip: Nano-SIM. Proteção Água: Não. Plataforma: Sistema. Sistema: Android 15 e One UI 7. Atualizações: 6 anos (sistema). Processador: Exynos 1480 (4 nm). CPU: Octa-core (4x2.75 GHz Cortex-A78 e 4x2.0 GHz Cortex-A55). GPU: Xclipse 530. Memórias: Memória RAM. Memória RAM: 8 GB. Armazenamento: 128 GBe256 GB. Tela: Tela - Tipo. Tela - Tipo: Super AMOLED Plus. Tela - Tamanho: 6.74. Tela - Resolução: 1080 x 2340 pixels. Tela - Frequência: 120Hz. Tela - Densidade: 382 ppi. Tela - Proteção: Corning Gorilla Glass Victus Plus. Câmera principal: 50 MP, f/1.8, (wide), OIS   e PDAF. 2ª câmera: 8 MP, f/2.2, (ultrawide). 3ª câmera: 2 MP, f/2.4, (macro). Câmera - Extras: Panorama, HDR e Flash LED. Vídeo: gyro-EIS, 10-bit HDR, OIS, Full HD - 60 fps e 4K - 30 fps. Câmera frontal: Câm. Selfie. Câm. Selfie: 12 MP, f/2.2, (wide). Bateria: 5000 mAh. Carregador: 45W. Redes de dados: 3G. 3G: Sim. 4G: Sim. 5G: Sim. Wi-Fi: Wi-Fi 802.11 a/b/g/n/ac/6, Dual Band e Wi-Fi Direct. Bluetooth: A2DP, LE e 5.2. GPS: QZSS, A-GPS, BDS, GALILEO e GLONASS. NFC: Não. Som: Loudspeaker e Estéreo. 3.5mm jack: Não. Outros: Rádio FM. Rádio FM: Não. Infravermelho: Não. USB: Tipo-C, On-The-Go e 2.0. Sensores: Bússola, Acelerômetro, Giroscópio, Proximidade e Impressão digital (sob a tela, óptico).",256.0,5000.0,https://www.oficinadanet.com.br/smartphones/samsung-galaxy-m56
